Feijenoord;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;Hillesluis;4;3;7;5;9;0,4;0,3;0,7;0,5;0,8
;;Katendrecht;5;8;1;1;1;1,3;2,2;0,3;0,3;0,2
;;Afrikaanderwijk;4;6;6;6;3;0,4;0,6;0,6;0,7;0,3
;;Feijenoord;0;2;1;5;5;0;0,3;0,1;0,7;0,7
;;Noordereiland;2;2;2;1;0;0,6;0,6;0,6;0,3;0
;;Feijenoord;30;35;35;32;43;0,4;0,5;0,5;0,5;0,6
;;Rotterdam;212;245;304;295;235;0,4;0,4;0,5;0,5;0,4

;;1.4.4 meldingen bedreiging;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;27;28;17;14;21;3,6;3,7;2,2;1,9;2,7
;;Vreewijk;43;57;66;65;45;3,1;4,1;4,8;4,8;3,3
;;Bloemhof;45;63;42;43;38;3,4;4,8;3,2;3,2;2,8
;;Hillesluis;48;52;63;53;43;4,2;4,7;5,9;5;3,9
;;Katendrecht;12;17;15;14;4;3,1;4,6;4,1;3,8;0,9
;;Afrikaanderwijk;31;35;34;36;37;3,3;3,7;3,7;4;4,1
;;Feijenoord;22;18;26;22;19;2,9;2,4;3,5;3;2,6
;;Noordereiland;17;4;3;3;3;4,9;1,2;0,9;0,9;0,9
;;Feijenoord;245;274;266;250;210;3,5;3,9;3,9;3,7;3
;;Rotterdam;1723;1742;1591;1488;1287;2,9;3;2,7;2,5;2,2

;;1.4.5 meldingen mishandeling;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;105;103;82;111;112;13,9;13,7;10,7;14,7;14,5
;;Vreewijk;269;309;271;314;288;19,2;22,4;19,7;23,1;21,2
;;Bloemhof;311;273;272;249;245;23,5;20,8;20,6;18,5;17,8
;;Hillesluis;300;330;346;363;303;26,4;30;32,5;34,1;27,2
;;Katendrecht;71;66;57;37;69;18,2;17,8;15,6;10,1;16,3
;;Afrikaanderwijk;177;168;174;196;165;18,8;17,9;18,7;21,5;18,5
;;Feijenoord;133;119;118;84;114;17,4;15,7;15,9;11,6;15,5
;;Noordereiland;57;42;48;43;54;16,3;12,4;14,6;13,6;16,5
;;Feijenoord;1423;1410;1368;1397;1350;20,1;20,3;19,9;20,4;19,3
;;Rotterdam;10335;10639;10667;10882;9915;17,6;18,3;18,4;18,6;16,7

Inbraak;;;;;;;;;;;;

;;buurtprobleem woninginbraak;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;10,6;13,4;5,5;6,8;10,5
;;Vreewijk;24,1;17,6;15,2;20,8;20,6
;;Bloemhof;13,2;11,7;11,9;14,6;21,7
;;Hillesluis;9,3;7,9;10,2;13,4;18
;;Katendrecht;18,4;14,7;17;9,4;5,5
;;Afrikaanderwijk;15,8;16,2;12,1;14,9;13,7
;;Feijenoord;16,5;25,9;19,9;12,6;17,5
;;Noordereiland;11,3;9,3;4,7;3,4;4,3
;;Feijenoord;15,3;14,6;13,3;13,7;16,2
;;Rotterdam;12,9;12;12,1;11,1;13,5

;;slachtofferschap poging tot inbraak;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;1,6;3,9;1,4;2,6;2,5
;;Vreewijk;4,5;6,3;2,1;4,4;3,2
;;Bloemhof;3,8;3,3;3;2,8;5,9
;;Hillesluis;2,7;4,5;2,6;2,2;1,9
;;Katendrecht;6,2;3,3;1,5;1,8;1,3
;;Afrikaanderwijk;2;2,3;3,9;2,4;4,9
;;Feijenoord;2,5;2;1,6;4,2;1,6
;;Noordereiland;5,1;2,2;4,8;2,8;2,8
;;Feijenoord;3,4;3,8;2,7;2,9;3,3
;;Rotterdam;3,5;3,1;3;2,5;2,8

;;slachtofferschap woninginbraak;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Kop van Zuid Entrepot;2,8;3,8;0;0,7;0,3
;;Vreewijk;2,2;2,2;0,9;3;1,9
;;Bloemhof;2,8;0,6;2,4;1,5;2,6
